"name","picurl","url"
"Viigimarjad mee ja pähklitega","http://pilt.toidutare.ee/pilt/08.2017/179736/311x311.jpg?t=1503317816","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C275/#Viigimarjad mee ja pähklitega"
"Küpsetatud õunad kookospiimakreemiga","http://pilt.toidutare.ee/pilt/08.2017/179723/311x311.jpg?t=1502885184","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C26A/#Küpsetatud õunad kookospiimakreemiga"
"Laura kookose-karamelli-twix’id","http://pilt.toidutare.ee/pilt/08.2017/179789/311x311.jpg?t=1503918485","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C2A4/#Laura kookose-karamelli-twix’id"
"Meepallid idandatud tatrast","http://pilt.toidutare.ee/pilt/05.2017/179340/311x311.jpg?t=1495805419","http://toidutare.ee/road/magustoidud_ja_maiustused/maiustused/1C0FB/#Meepallid idandatud tatrast"
"Röstitud maasika ja rabarberi sorbett palsamiäädikaga","http://pilt.toidutare.ee/pilt/05.2017/179354/311x311.jpg?t=1496056570","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C108/#Röstitud maasika ja rabarberi sorbett palsamiäädikaga"
"Küpsetatud riisipuding","http://pilt.toidutare.ee/pilt/05.2017/179306/311x311.jpg?t=1495543938","http://toidutare.ee/road/magustoidud_ja_maiustused/kreemid_ja_pudingid/1C0D5/#Küpsetatud riisipuding"
"Kitsejuustutäidisega maasikad","http://pilt.toidutare.ee/pilt/05.2017/179313/311x311.jpg?t=1495630670","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C0D9/#Kitsejuustutäidisega maasikad"
"Pavlova-segadus","http://pilt.toidutare.ee/pilt/05.2017/179282/311x311.jpg?t=1495046726","http://toidutare.ee/road/magustoidud_ja_maiustused/jäätis_ja_parfee/1C0C2/#Pavlova-segadus"
"Brüleekreemiga maasikad","http://pilt.toidutare.ee/pilt/05.2017/179314/311x311.jpg?t=1495631079","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C0DA/#Brüleekreemiga maasikad"
"Banaanijäätis","http://pilt.toidutare.ee/pilt/05.2017/179268/311x311.jpg?t=1494860435","http://toidutare.ee/road/magustoidud_ja_maiustused/marjad_ja_puuviljad/1C0B2/#Banaanijäätis"
